"ID","Origin","Element","Status","Name","Requirement","Analysis","Atomic","Independent","Detailed","Consistent","Specific","Feasible","Prioritized","Unambiguous","Comprehensible","Testable","Unique","Identifiable","Traceable","Mapped","Conforming","Derived","Analyzed","Reviewed","Agreed"
"SoS.Proc.ReqEng.SthReq_11","SoS.Proc.ReqEng.Input_BABOK_9;SoS.Proc.ReqEng.Input_WiegersBeatty_2;SoS.Proc.ReqEng.Input_WiegersBeatty_5;SoS.Proc.ReqEng.Input_IREB_5","System specification.Requirements specification.Requirement","Analyzed","Comprehensible","The requirement should be comprehensible, to support a common understanding of the requirement between stakeholder and development team.","A comprehensive requirements uses a common language and terminology between stakeholder and development team","yes","yes","yes","yes","yes","yes","yes, not comprehensible requirements have a high risk of diverging expectations.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_12","SoS.Proc.ReqEng.Input_BABOK_7;SoS.Proc.ReqEng.Input_WiegersBeatty_6;SoS.Proc.ReqEng.Input_IREB_6","System specification.Requirements specification.Requirement","Analyzed","Testable","The requirement shall be testable, to support validation and verification activities.","Validation/Verification?","yes","yes","yes","yes","yes","yes","yes, requirements that are not testable can not be tested.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_13","SoS.Proc.ReqEng.Input_WiegersBeatty_11;SoS.Proc.ReqEng.Input_IREB_8","System specification.Requirements specification.Requirement","Analyzed","Unique","The requirement should be unique, to avoid duplicate planning of development efforts and inconsistencies between requirements.",,"yes","yes","yes","yes","yes","yes","yes, unique requirements helps with requirements maintenance but duplicates could still be implemented.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_14","SoS.Proc.ReqEng.Input_WiegersBeatty_11","System specification.Requirements specification.Requirement","Analyzed","Identifiable","The requirement shall be identifiable, to support traceability and improve clear communication.",,"yes","yes","yes","yes","yes","yes","yes, identifiable requirements are needed for communication and testing.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_15","SoS.Proc.ReqEng.Input_WiegersBeatty_11;SoS.Proc.ReqEng.Input_IREB_11","System specification.Requirements specification.Requirement","Analyzed","Traceable","The requirement should be traceable to its origin, to support change management and stakeholder acceptance.",,"yes","yes","yes","yes","yes","yes","yes, requirements without an origin can still be implemented but there is risk to any refinement.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_16","SoS.Proc.ReqEng.Input_WiegersBeatty_11;SoS.Proc.ReqEng.Input_IREB_9","System specification.Requirements specification.Requirement","Analyzed","Mapped","The requirement should be mapped to elements in the system, to support planning of development and effective use of resources.",,"yes","yes","yes","yes","yes","yes","yes, but unmapped requirements will make for ineffective development but not impossible.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_17","SoS.Proc.ReqEng.Input_IREB_12","System specification.Requirements specification.Requirement","Analyzed","Conforming","The requirement may be conforming with defined formats to support understanding between stakeholder and development team.",,"yes","yes","yes","yes","yes","yes","yes, but no blocker for effective and efficient development nevertheless.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_18","SoS.Proc.ReqEng.Input_BABOK_2;SoS.Proc.ReqEng.Input_WiegersBeatty_1;SoS.Proc.ReqEng.Input_IREB_9","System specification.Requirements specification.Requirement","Analyzed","Derived","The requirement shall be derived from stakeholder input, to avoid extraneous development efforts.",,"yes","yes","yes","yes","yes","yes","yes, requirements not derived from stakeholder input are not necessary.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_19","SoS.Proc.ReqEng.Input_BABOK_2;SoS.Proc.ReqEng.Input_WiegersBeatty_1;SoS.Proc.ReqEng.Input_IREB_10","System specification.Requirements specification.Requirement","Analyzed","Analyzed","The requirement should be analyzed by the development team, to understand its impact on the system and development.",,"yes","yes","yes","yes","yes","yes","yes, with risk to the system but still implementable.","yes","yes","yes, through analysis documentation.","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_20","SoS.Proc.ReqEng.Input_BABOK_2;SoS.Proc.ReqEng.Input_WiegersBeatty_1;SoS.Proc.ReqEng.Input_IREB_11","System specification.Requirements specification.Requirement","Analyzed","Reviewed","The requirement should be reviewed by the stakeholder and the development team, to ensure informed agreement.",,"yes","yes","yes","yes","yes","yes","yes, with risk to common understanding but still implementable.","yes","yes","yes, through review records.","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_21","SoS.Proc.ReqEng.Input_BABOK_2;SoS.Proc.ReqEng.Input_WiegersBeatty_1;SoS.Proc.ReqEng.Input_IREB_12","System specification.Requirements specification.Requirement","Analyzed","Agreed","The requirement shall be agreed upon by the stakeholder and the development team, to ensure accountability and support the establishment of baselines.",,"yes","yes","yes","yes","yes","yes","yes, agreement is the foundation for a common understanding.","yes","yes","yes, through contractual documents.","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_22",,,"Draft","Tangible","The requirement should be tangible",,,,,,,,,,,,,,,,,,,,
